month,nci,anomaly_score,ews,ews_level,gcr,gcr_level
2024-01,0.305,0.697,0.383,GREEN,0.364,GREEN
2024-02,0.917,0.97,0.927,RED,0.925,RED
2024-03,0.0,1.0,0.2,GREEN,0.15,GREEN
2024-04,0.569,0.879,0.631,RED,0.615,YELLOW
2024-05,0.917,0.939,0.921,RED,0.92,RED
2024-06,0.536,0.636,0.556,GREEN,0.551,GREEN
2024-07,0.562,0.364,0.523,GREEN,0.533,GREEN
2024-08,0.591,0.303,0.533,GREEN,0.548,GREEN
2024-09,0.681,0.424,0.629,YELLOW,0.642,RED
2024-10,0.368,0.455,0.386,GREEN,0.381,GREEN
2024-11,0.157,0.909,0.307,GREEN,0.27,GREEN
2024-12,0.469,0.606,0.496,GREEN,0.49,GREEN
2025-01,0.352,0.848,0.452,GREEN,0.427,GREEN
2025-02,0.375,0.242,0.349,GREEN,0.355,GREEN
2025-03,0.588,0.576,0.586,YELLOW,0.586,YELLOW
2025-04,0.416,0.182,0.369,GREEN,0.381,GREEN
2025-05,0.246,0.818,0.36,GREEN,0.331,GREEN
2025-06,0.44,0.667,0.485,GREEN,0.474,GREEN
2025-07,0.606,0.273,0.54,GREEN,0.556,GREEN
2025-08,0.594,0.152,0.506,GREEN,0.528,GREEN
2025-09,0.48,0.212,0.426,GREEN,0.44,GREEN
2025-10,0.39,0.515,0.415,GREEN,0.409,GREEN
2025-11,0.603,0.727,0.628,YELLOW,0.622,YELLOW
2025-12,0.593,0.485,0.572,YELLOW,0.577,YELLOW
2026-01,0.633,0.121,0.531,GREEN,0.556,GREEN
2026-02,0.651,0.394,0.6,YELLOW,0.612,YELLOW
2026-03,0.679,0.788,0.701,RED,0.695,RED
2026-04,0.482,0.333,0.453,GREEN,0.46,GREEN
2026-05,0.573,0.061,0.471,GREEN,0.496,GREEN
2026-06,0.55,0.091,0.458,GREEN,0.481,GREEN
2026-07,0.555,0.03,0.45,GREEN,0.476,GREEN
2026-08,0.374,0.545,0.408,GREEN,0.4,GREEN
2026-09,0.381,0.758,0.456,GREEN,0.437,GREEN
