event_id;event_size;Document_Contagion_Score;Risk_Dimensions;Crisis_Validity_Score;BPKH_Exposure_Score;Public_Trust_Score;Response_Score;Mitigation_Score
E030;13;0.34731549;"Corruption_Investigation;Governance_Oversight;BPKH_Governance;Public_Trust_Reputation";0.3873239;0.3317389;0.32606328;0.20354877;0.37652162
E028;1;0.299581707;"Corruption_Investigation;Public_Trust_Reputation;Hajj_Fund_Management;Quota_Governance";0.35449192;0.23759368;0.3192307;0.03500387;0.39917594
E044;6;0.271003485;"Hajj_Fund_Management;Public_Trust_Reputation;Quota_Governance;BPKH_Governance";0.16291507;0.39974952;0.30561548;0.08830707;0.46776664
E024;21;0.264203787;"Hajj_Fund_Management;Public_Trust_Reputation;BPKH_Governance;Corruption_Investigation";0.15286301;0.3603336;0.334819;0.09251371;0.5245702
E026;3;0.263984799;"BPKH_Governance;Corruption_Investigation;Public_Trust_Reputation;Hajj_Fund_Management";0.2220933;0.3241627;0.25552794;0.07575995;0.4322477
E034;6;0.232856467;"Quota_Governance;Hajj_Fund_Management;Public_Trust_Reputation";0.15918796;0.28439415;0.27889073;0.041331053;0.3549814
E042;5;0.229521856;"Hajj_Fund_Management;Quota_Governance;Public_Trust_Reputation;BPKH_Governance";0.14060447;0.4295175;0.20021296;0.07859433;0.46866545
E031;4;0.218205661;"Hajj_Fund_Management;Public_Trust_Reputation;BPKH_Governance;Quota_Governance";0.0982618;0.38475168;0.27481014;0.058064878;0.58172697
E020;3;0.21686244;"Public_Trust_Reputation;Hajj_Fund_Management;BPKH_Governance;Corruption_Investigation";0.113702595;0.28995928;0.30934677;0.046208233;0.49157792
E033;2;0.209726825;Public_Trust_Reputation;0.11744025;0.21957508;0.35773543;0.031727478;0.45130706
E043;14;0.204511732;"Hajj_Fund_Management;Public_Trust_Reputation;Quota_Governance;BPKH_Governance";0.11650593;0.32414186;0.2265017;0.009793401;0.47663742
E018;1;0.202698797;"Public_Trust_Reputation;Hajj_Fund_Management;BPKH_Governance";0.0793885;0.31873608;0.3291279;0.010829106;0.5762121
E035;19;0.191929892;"Hajj_Fund_Management;Quota_Governance;BPKH_Governance;Public_Trust_Reputation";0.15168448;0.2897933;0.16084158;0.08924329;0.36350667
E003;2;0.186653927;"Hajj_Fund_Management;Public_Trust_Reputation;Quota_Governance;BPKH_Governance";0.10962075;0.2658819;0.22311556;0.009790152;0.2914365
E037;3;0.186221287;"Corruption_Investigation;Hajj_Fund_Management";0.15003657;0.23669194;0.18184753;0;0.31750774
E036;2;0.184228867;Corruption_Investigation;0.25078753;0.1422053;0.17532802;0;0.22036807
E019;1;0.182680786;Hajj_Fund_Management;0.0975803;0.3080237;0.20283008;0.08437112;0.4433909
E006;3;0.180987328;"Hajj_Fund_Management;Public_Trust_Reputation;Quota_Governance";0.07871205;0.36273113;0.20764354;0;0.5112493
E005;6;0.175285131;"Corruption_Investigation;Public_Trust_Reputation;Hajj_Fund_Management;BPKH_Governance";0.15705012;0.18273085;0.18766579;0;0.27314162
E045;14;0.171131656;"Hajj_Fund_Management;Quota_Governance;Public_Trust_Reputation";0.12517986;0.2434732;0.16443923;0.07516572;0.28917736
